ride_id,travel_from,max_capacity,year,month,day,day_of_week,hour,minute,tickets
1442,Migori,49,2017,10,17,1,7,15,1
5437,Migori,49,2017,11,19,6,7,12,1
5710,Keroka,49,2017,11,26,6,7,5,1
5777,Homa Bay,49,2017,11,27,0,7,10,5
5778,Migori,49,2017,11,27,0,7,12,31
5781,Homa Bay,49,2017,11,27,0,7,9,26
5784,Kisii,11,2018,4,20,4,5,10,1
5789,Kisii,11,2018,4,20,4,9,50,1
5790,Kisii,49,2018,4,20,4,7,6,2
5791,Kisii,11,2018,4,20,4,6,0,1
5792,Kisii,11,2018,4,20,4,5,50,1
5793,Kisii,11,2018,4,20,4,10,58,1
5794,Kisii,11,2018,4,20,4,6,50,2
5795,Kisii,11,2018,4,20,4,5,30,1
5796,Kisii,11,2018,4,20,4,6,40,2
5797,Keroka,49,2017,11,27,0,7,6,3
5798,Kisii,11,2018,4,20,4,9,10,1
5800,Kisii,11,2018,4,19,3,5,0,2
5801,Kisii,11,2018,4,19,3,5,20,11
5802,Keroka,11,2017,11,27,0,10,52,3
5803,Kisii,11,2018,4,19,3,5,10,11
5804,Keroka,11,2017,11,27,0,10,50,1
5808,Kisii,49,2018,4,19,3,7,6,2
5809,Kisii,11,2018,4,19,3,10,51,1
5810,Kisii,11,2018,4,19,3,7,15,1
5811,Kisii,11,2018,4,19,3,8,20,1
5812,Kisii,11,2018,4,19,3,5,30,1
5816,Kisii,11,2018,4,18,2,5,10,1
5817,Kisii,11,2018,4,18,2,5,0,1
5822,Kisii,49,2018,4,18,2,7,6,1
5823,Kisii,11,2018,4,18,2,6,40,2
5824,Kisii,11,2018,4,18,2,8,20,1
5825,Kisii,49,2018,4,18,2,19,3,1
5826,Kisii,11,2018,4,18,2,5,30,1
5830,Kisii,11,2018,4,17,1,5,20,1
5834,Kisii,49,2018,4,17,1,7,2,1
5835,Kisii,11,2018,4,17,1,6,40,2
5836,Kisii,11,2018,4,17,1,6,50,1
5837,Kisii,49,2018,4,17,1,7,6,1
5838,Kisii,11,2018,4,17,1,6,30,1
5839,Kisii,11,2018,4,17,1,7,20,1
5840,Kisii,11,2018,4,17,1,5,30,1
5844,Kisii,11,2018,4,16,0,5,10,1
5845,Kisii,11,2018,4,16,0,5,0,1
5849,Kisii,49,2018,4,16,0,7,6,1
5850,Kisii,49,2018,4,16,0,7,4,1
5851,Kisii,49,2018,4,16,0,19,5,1
5852,Kisii,11,2018,4,16,0,7,15,1
5853,Kisii,11,2018,4,16,0,5,30,1
5856,Kisii,11,2018,4,15,6,5,20,11
5857,Kisii,11,2018,4,15,6,5,0,4
5858,Kisii,11,2018,4,15,6,5,10,11
5861,Kisii,49,2018,4,15,6,19,4,1
5862,Kisii,49,2018,4,15,6,7,4,1
5863,Kisii,11,2018,4,15,6,6,40,1
5864,Kisii,11,2018,4,15,6,5,30,1
5867,Kisii,11,2018,4,14,5,5,10,9
5868,Kisii,11,2018,4,14,5,5,20,6
5873,Kisii,49,2018,4,14,5,6,59,1
5874,Kisii,49,2018,4,14,5,7,6,5
5875,Migori,49,2017,11,27,0,7,8,3
5876,Kisii,11,2018,4,14,5,5,40,1
5878,Kisii,11,2018,4,14,5,5,30,2
5880,Kisii,11,2018,4,13,4,5,20,11
5881,Kisii,11,2018,4,13,4,5,0,1
5882,Kisii,11,2018,4,13,4,5,10,4
5886,Kisii,11,2018,4,13,4,9,0,1
5887,Kisii,49,2018,4,13,4,7,6,1
5888,Kisii,49,2018,4,13,4,7,14,1
5889,Kisii,49,2018,4,13,4,7,7,1
5890,Kisii,11,2018,4,13,4,5,30,1
5894,Kisii,11,2018,12,4,1,5,0,11
5897,Kisii,11,2018,12,4,1,5,20,11
5898,Keroka,11,2017,11,27,0,6,30,1
5899,Keumbu,11,2017,11,27,0,6,30,1
5901,Migori,49,2017,11,27,0,7,15,11
5902,Homa Bay,49,2017,11,27,0,7,4,5
5910,Kisii,11,2018,12,4,1,5,10,11
5918,Kisii,49,2018,12,4,1,7,8,1
5919,Kisii,49,2018,12,4,1,8,0,1
5920,Kisii,49,2018,12,4,1,7,6,1
5921,Kisii,49,2018,12,4,1,7,14,1
5922,Kisii,11,2018,12,4,1,9,50,1
5923,Kisii,11,2018,12,4,1,7,30,1
5924,Kisii,11,2018,12,4,1,10,57,1
5925,Kisii,11,2018,12,4,1,5,30,1
5928,Kisii,11,2018,11,4,6,5,20,1
5929,Kisii,11,2018,11,4,6,5,10,8
5931,Kisii,11,2018,11,4,6,5,0,1
5933,Keroka,11,2017,11,28,1,8,30,1
5940,Kisii,49,2018,11,4,6,7,2,1
5941,Kisii,11,2018,11,4,6,9,50,3
5942,Kisii,11,2018,11,4,6,11,1,1
5943,Kisii,11,2018,11,4,6,6,30,1
5944,Kisii,49,2018,11,4,6,7,11,1
5945,Kisii,11,2018,11,4,6,10,58,1
5946,Kisii,11,2018,11,4,6,5,30,1
5947,Migori,49,2017,11,28,1,7,12,11
5950,Homa Bay,49,2017,11,28,1,7,9,10
5951,Kisii,11,2018,10,4,3,5,10,6
5953,Kisii,11,2018,10,4,3,5,0,1
5957,Kisii,49,2018,10,4,3,7,6,6
5958,Kisii,11,2018,10,4,3,6,40,1
5937,Keroka,49,2017,11,28,1,7,6,1
5959,Kisii,11,2018,10,4,3,5,40,1
5960,Kisii,11,2018,10,4,3,6,0,1
5961,Kisii,11,2018,10,4,3,5,30,1
5964,Kisii,11,2018,9,4,1,5,10,2
5965,Kisii,11,2018,9,4,1,5,0,1
5969,Kisii,49,2018,9,4,1,7,6,2
5971,Kisii,49,2018,9,4,1,19,3,1
5972,Kisii,11,2018,9,4,1,6,30,2
5973,Kisii,11,2018,9,4,1,5,30,1
5976,Kisii,11,2018,8,4,5,5,10,2
5982,Kisii,49,2018,8,4,5,7,6,4
